,Gender,App,Offer
0,M,0.0,OFFER
1,F,0.0,OFFER
2,N,0.0,OFFER
3,F,0.0,OFFER
4,F,0.0,OFFER
5,F,0.0,OFFER
6,M,0.0,OFFER
7,F,0.0,OFFER
8,M,0.0,Reject
9,M,2.5,Reject
10,M,4.0,Reject
11,F,4.5,Reject
12,M,4.5,Reject
13,M,5.0,Reject
14,N,5.0,Reject
15,M,5.5,Reject
16,M,6.0,Reject
17,M,6.0,Reject
18,M,6.5,Reject
19,F,7.0,Reject
20,F,7.0,Reject
21,N,7.0,Reject
22,F,7.0,Reject
23,M,7.0,Reject
24,M,7.0,Reject
25,M,7.5,Reject
26,F,7.5,Reject
27,M,7.5,Reject
28,M,8.0,Reject
29,M,8.0,Reject
30,M,8.0,Reject
31,M,8.0,Reject
32,M,8.0,Reject
33,F,8.0,Reject
34,F,8.5,Reject
35,F,8.5,Reject
36,F,8.5,Reject
37,M,8.5,Reject
38,F,8.5,Reject
39,M,8.5,Reject
40,M,8.5,Reject
41,M,8.5,Reject
42,M,8.5,Reject
43,F,8.5,Reject
44,F,8.5,Reject
45,M,9.0,Reject
46,M,9.0,Reject
47,F,9.0,Reject
48,M,9.0,Reject
49,M,9.0,Reject
50,F,9.0,Reject
51,M,9.0,Reject
52,M,9.0,Reject
53,M,9.0,Reject
54,F,9.0,Reject
55,M,9.0,Reject
56,M,9.0,Reject
57,F,9.0,Reject
58,M,9.0,Reject
59,F,9.5,Reject
60,F,9.5,Reject
61,F,9.5,Reject
62,M,9.5,Reject
63,M,9.5,Reject
64,F,9.5,Reject
65,M,9.5,Reject
66,F,9.5,Reject
67,F,9.5,Reject
68,M,9.5,Reject
69,F,9.5,Reject
70,F,9.5,Reject
71,F,9.5,Reject
72,F,9.5,Reject
73,M,9.5,Reject
74,F,10.0,Reject
75,F,10.0,Reject
76,M,10.0,Reject
77,F,10.0,Reject
78,F,10.0,Reject
79,M,10.0,Reject
80,F,10.0,Reject
81,F,10.0,OFFER
82,F,10.0,Reject
83,F,10.0,Reject
84,F,10.5,Reject
85,F,10.5,Reject
86,F,10.5,Reject
87,M,10.5,Reject
88,F,10.5,Reject
89,F,10.5,OFFER
90,M,10.5,OFFER
91,F,10.5,Reject
92,F,11.0,Reject
93,M,11.0,Reject
94,F,11.0,Reject
95,F,11.0,Reject
96,M,11.0,Reject
97,F,11.0,Reject
98,M,11.0,Reject
99,F,11.0,Reject
100,F,11.0,Reject
101,M,11.0,Reject
102,F,11.0,Reject
103,M,11.0,Reject
104,F,11.0,Reject
105,F,11.0,Reject
106,M,11.0,Reject
107,F,11.0,OFFER
108,F,11.0,Reject
109,M,11.5,Reject
110,M,11.5,Reject
111,M,11.5,OFFER
112,M,11.5,OFFER
113,F,11.5,OFFER
114,F,11.5,OFFER
115,M,11.5,OFFER
116,M,11.5,OFFER
117,F,11.5,OFFER
118,F,11.5,OFFER
119,F,11.5,Reject
120,M,11.5,Reject
121,F,11.5,Reject
122,F,11.5,Reject
123,M,11.5,Reject
124,M,11.5,Reject
125,F,11.5,Reject
126,F,11.5,Reject
127,M,11.5,Reject
128,F,12.0,Reject
129,M,12.0,OFFER
130,M,12.0,OFFER
131,M,12.0,OFFER
132,F,12.0,OFFER
133,M,12.0,OFFER
134,F,12.0,OFFER
135,F,12.0,OFFER
136,F,12.0,OFFER
137,F,12.0,Reject
138,F,12.0,Reject
139,F,12.0,Reject
140,F,12.0,Reject
141,N,12.0,Reject
142,M,12.0,Reject
143,F,12.0,Reject
144,F,12.0,Reject
145,M,12.0,Reject
146,F,12.0,Reject
147,M,12.0,Reject
148,F,12.0,Reject
149,M,12.5,OFFER
150,M,12.5,OFFER
151,M,12.5,OFFER
152,M,12.5,Reject
153,F,12.5,Reject
154,M,12.5,Reject
155,M,13.0,Reject
156,F,13.0,OFFER
157,F,13.0,OFFER
158,M,13.0,OFFER
159,M,13.0,OFFER
160,F,13.0,Reject
161,F,13.0,Reject
162,F,13.0,Reject
163,M,13.0,Reject
164,F,13.0,Reject
165,F,13.0,Reject
166,M,13.5,Reject
167,M,13.5,Reject
168,M,13.5,OFFER
169,M,13.5,OFFER
170,M,13.5,OFFER
171,F,13.5,OFFER
172,M,13.5,OFFER
173,M,13.5,OFFER
174,F,13.5,Reject
175,M,13.5,Reject
176,F,13.5,Reject
177,F,13.5,Reject
178,F,13.5,Reject
179,F,14.0,OFFER
180,M,14.0,OFFER
181,F,14.0,OFFER
182,F,14.0,Reject
183,F,14.0,Reject
184,F,14.0,Reject
185,M,14.0,Reject
186,M,14.0,Reject
187,F,14.0,Reject
188,M,14.0,Reject
189,F,14.0,Reject
190,M,14.5,Reject
191,F,14.5,OFFER
192,F,14.5,OFFER
193,M,14.5,OFFER
194,M,14.5,OFFER
195,F,14.5,OFFER
196,M,14.5,Reject
197,F,14.5,Reject
198,F,14.5,Reject
199,F,14.5,Reject
200,F,15.0,OFFER
201,F,15.0,OFFER
202,F,15.0,OFFER
203,F,15.0,OFFER
204,M,15.0,OFFER
205,M,15.0,OFFER
206,F,15.0,Reject
207,F,15.5,OFFER
208,F,15.5,OFFER
209,F,16.0,Reject
210,F,16.0,OFFER
211,F,16.0,OFFER
212,N,16.0,Reject
213,F,16.0,Reject
214,M,16.5,OFFER
215,F,16.5,OFFER
216,F,17.0,OFFER
217,M,17.0,OFFER
218,N,17.0,OFFER
219,F,17.5,Reject
220,M,17.5,OFFER
221,F,17.5,Reject
222,M,3.0,REJECT
223,M,4.0,REJECT
224,M,4.0,REJECT
225,M,4.0,REJECT
226,F,5.0,REJECT
227,,5.5,REJECT
228,M,5.5,REJECT
229,M,6.0,REJECT
230,M,6.0,REJECT
231,M,6.5,REJECT
232,F,7.0,REJECT
233,F,7.0,REJECT
234,M,7.5,REJECT
235,F,7.5,REJECT
236,F,7.5,REJECT
237,M,7.5,REJECT
238,M,7.5,REJECT
239,M,7.5,REJECT
240,F,7.5,REJECT
241,M,7.5,REJECT
242,M,8.0,REJECT
243,M,8.0,REJECT
244,F,8.0,REJECT
245,F,8.0,REJECT
246,F,8.0,REJECT
247,,8.0,REJECT
248,F,8.5,REJECT
249,F,8.5,REJECT
250,F,8.5,REJECT
251,M,8.5,REJECT
252,M,8.5,REJECT
253,M,8.5,REJECT
254,M,8.5,REJECT
255,M,9.0,Offer
256,M,9.0,REJECT
257,M,9.0,REJECT
258,F,9.0,REJECT
259,M,9.0,REJECT
260,M,9.0,REJECT
261,M,9.0,REJECT
262,M,9.0,REJECT
263,,9.0,REJECT
264,F,9.5,REJECT
265,M,9.5,REJECT
266,F,9.5,REJECT
267,M,9.5,REJECT
268,F,9.5,REJECT
269,F,9.5,REJECT
270,M,9.5,REJECT
271,M,10.0,Offer
272,M,10.0,OFFER
273,F,10.0,REJECT
274,F,10.0,REJECT
275,F,10.0,REJECT
276,F,10.0,REJECT
277,M,10.0,REJECT
278,F,10.0,REJECT
279,F,10.5,OFFER
280,M,10.5,REJECT
281,M,10.5,REJECT
282,F,10.5,REJECT
283,F,10.5,REJECT
284,F,10.5,REJECT
285,M,10.5,REJECT
286,F,10.5,REJECT
287,F,10.5,REJECT
288,F,10.5,REJECT
289,F,10.5,REJECT
290,M,10.5,REJECT
291,F,10.5,REJECT
292,M,10.5,REJECT
293,M,10.5,REJECT
294,F,10.5,REJECT
295,M,10.5,REJECT
296,F,10.5,REJECT
297,F,11.0,REJECT
298,F,11.0,REJECT
299,F,11.0,REJECT
300,F,11.0,REJECT
301,M,11.0,REJECT
302,F,11.0,REJECT
303,M,11.0,REJECT
304,F,11.0,REJECT
305,M,11.0,REJECT
306,F,11.0,REJECT
307,M,11.0,REJECT
308,F,11.0,REJECT
309,M,11.0,REJECT
310,M,11.0,REJECT
311,M,11.0,REJECT
312,M,11.0,REJECT
313,M,11.0,REJECT
314,F,11.0,REJECT
315,F,11.5,REJECT
316,M,11.5,REJECT
317,F,11.5,REJECT
318,F,11.5,REJECT
319,F,11.5,REJECT
320,M,11.5,REJECT
321,M,11.5,REJECT
322,M,11.5,REJECT
323,M,11.5,REJECT
324,F,11.5,REJECT
325,F,11.5,REJECT
326,F,11.5,REJECT
327,M,11.5,REJECT
328,M,11.5,REJECT
329,,11.5,REJECT
330,F,11.5,REJECT
331,F,11.5,REJECT
332,F,12.0,Offer
333,M,12.0,OFFER
334,F,12.0,REJECT
335,M,12.0,REJECT
336,F,12.0,REJECT
337,M,12.0,REJECT
338,F,12.0,REJECT
339,F,12.0,REJECT
340,M,12.0,REJECT
341,M,12.0,REJECT
342,N,12.0,REJECT
343,M,12.0,REJECT
344,M,12.0,REJECT
345,F,12.0,REJECT
346,M,12.0,REJECT
347,M,12.0,REJECT
348,,12.0,REJECT
349,F,12.5,Offer
350,M,12.5,REJECT
351,F,12.5,REJECT
352,F,12.5,REJECT
353,F,12.5,REJECT
354,F,12.5,REJECT
355,F,12.5,REJECT
356,F,12.5,REJECT
357,F,12.5,REJECT
358,N,12.5,REJECT
359,F,12.5,REJECT
360,F,12.5,REJECT
361,M,12.5,REJECT
362,M,12.5,REJECT
363,M,12.5,REJECT
364,M,12.5,REJECT
365,M,12.5,REJECT
366,M,12.5,REJECT
367,M,12.5,REJECT
368,F,12.5,REJECT
369,F,13.0,REJECT
370,M,13.0,REJECT
371,M,13.0,REJECT
372,M,13.0,REJECT
373,F,13.0,REJECT
374,M,13.0,REJECT
375,M,13.0,REJECT
376,F,13.0,REJECT
377,F,13.0,REJECT
378,F,13.0,REJECT
379,F,13.0,REJECT
380,M,13.0,REJECT
381,F,13.0,REJECT
382,M,13.0,REJECT
383,M,13.0,REJECT
384,M,13.0,REJECT
385,N,13.0,REJECT
386,F,13.5,Offer
387,M,13.5,Offer
388,F,13.5,OFFER
389,F,13.5,OFFER
390,F,13.5,OFFER
391,M,13.5,OFFER
